time;load
13.08.2022 05:15;41520
13.08.2022 05:30;41539
13.08.2022 05:45;41688
13.08.2022 06:00;42427
13.08.2022 06:15;42855
13.08.2022 06:30;43151
13.08.2022 06:45;43663
13.08.2022 07:00;44483
13.08.2022 07:15;45207
13.08.2022 07:30;45936
13.08.2022 07:45;46877
13.08.2022 08:00;48296
13.08.2022 08:15;49278
13.08.2022 08:30;50287
13.08.2022 08:45;51478
13.08.2022 09:00;52440
13.08.2022 09:15;52922
13.08.2022 09:30;54053
13.08.2022 09:45;54821
13.08.2022 10:00;54811
13.08.2022 10:15;54783
13.08.2022 10:30;55503
13.08.2022 10:45;56019
13.08.2022 11:00;56066
13.08.2022 11:15;56805
13.08.2022 11:30;57367
13.08.2022 11:45;57445
13.08.2022 12:00;56784
13.08.2022 12:15;56539
13.08.2022 12:30;56297
13.08.2022 12:45;56024
13.08.2022 13:00;55529
13.08.2022 13:15;55620
13.08.2022 13:30;54674
13.08.2022 13:45;54274
13.08.2022 14:00;53583
13.08.2022 14:15;53390
13.08.2022 14:30;53004
13.08.2022 14:45;52955
13.08.2022 15:00;52770
13.08.2022 15:15;52579
13.08.2022 15:30;52462
13.08.2022 15:45;52171
13.08.2022 16:00;52570
13.08.2022 16:15;52332
13.08.2022 16:30;52104
13.08.2022 16:45;52146
13.08.2022 17:00;51683
13.08.2022 17:15;50988
13.08.2022 17:30;50974
13.08.2022 17:45;50854
13.08.2022 18:00;50719
13.08.2022 18:15;50736
13.08.2022 18:30;50593
13.08.2022 18:45;49972
13.08.2022 19:00;50420
13.08.2022 19:15;49736
13.08.2022 19:30;49541
13.08.2022 19:45;49325
13.08.2022 20:00;48732
13.08.2022 20:15;48058
13.08.2022 20:30;48060
13.08.2022 20:45;48027
13.08.2022 21:00;48152
13.08.2022 21:15;47849
13.08.2022 21:30;47433
13.08.2022 21:45;46707
13.08.2022 22:00;46042
13.08.2022 22:15;45114
13.08.2022 22:30;44507
13.08.2022 22:45;44229
13.08.2022 23:00;43800
13.08.2022 23:15;43476
13.08.2022 23:30;43038
13.08.2022 23:45;42878
14.08.2022 00:00;42014
14.08.2022 00:15;41526
14.08.2022 00:30;41252
14.08.2022 00:45;40945
14.08.2022 01:00;40465
14.08.2022 01:15;40371
14.08.2022 01:30;40379
14.08.2022 01:45;40376
14.08.2022 02:00;39936
14.08.2022 02:15;39776
14.08.2022 02:30;39602
14.08.2022 02:45;39438
14.08.2022 03:00;39294
14.08.2022 03:15;39310
14.08.2022 03:30;39092
14.08.2022 03:45;38884
14.08.2022 04:00;39073
14.08.2022 04:15;38951
14.08.2022 04:30;38949
14.08.2022 04:45;38788
14.08.2022 05:00;39250
14.08.2022 05:15;39259
14.08.2022 05:30;39405
14.08.2022 05:45;39235
14.08.2022 06:00;39524
14.08.2022 06:15;39556
14.08.2022 06:30;39919
14.08.2022 06:45;40235
14.08.2022 07:00;40565
14.08.2022 07:15;41160
14.08.2022 07:30;41848
14.08.2022 07:45;42768
14.08.2022 08:00;43125
14.08.2022 08:15;44243
14.08.2022 08:30;45213
14.08.2022 08:45;46399
14.08.2022 09:00;46436
14.08.2022 09:15;47524
14.08.2022 09:30;48522
14.08.2022 09:45;49384
14.08.2022 10:00;49612
14.08.2022 10:15;50420
14.08.2022 10:30;51373
14.08.2022 10:45;51611
14.08.2022 11:00;52457
14.08.2022 11:15;53102
14.08.2022 11:30;53544
14.08.2022 11:45;53739
14.08.2022 12:00;53982
14.08.2022 12:15;54093
14.08.2022 12:30;53712
14.08.2022 12:45;53421
14.08.2022 13:00;52611
14.08.2022 13:15;52240
14.08.2022 13:30;52296
14.08.2022 13:45;51914
14.08.2022 14:00;51756
14.08.2022 14:15;51716
14.08.2022 14:30;51324
14.08.2022 14:45;51049
14.08.2022 15:00;50849
14.08.2022 15:15;50249
14.08.2022 15:30;49909
14.08.2022 15:45;49438
14.08.2022 16:00;49982
14.08.2022 16:15;50081
14.08.2022 16:30;50016
14.08.2022 16:45;49221
14.08.2022 17:00;50182
14.08.2022 17:15;49619
14.08.2022 17:30;49325
14.08.2022 17:45;49371
14.08.2022 18:00;50026
14.08.2022 18:15;49942
14.08.2022 18:30;50039
14.08.2022 18:45;49880
14.08.2022 19:00;50175
14.08.2022 19:15;49838
14.08.2022 19:30;49782
14.08.2022 19:45;49783
14.08.2022 20:00;49525
14.08.2022 20:15;49267
14.08.2022 20:30;49173
14.08.2022 20:45;49169
14.08.2022 21:00;49567
14.08.2022 21:15;49692
14.08.2022 21:30;49379
14.08.2022 21:45;49094
14.08.2022 22:00;48960
14.08.2022 22:15;48328
14.08.2022 22:30;48017
14.08.2022 22:45;47428
14.08.2022 23:00;47052
14.08.2022 23:15;46142
14.08.2022 23:30;45652
14.08.2022 23:45;45341
15.08.2022 00:00;44809
15.08.2022 00:15;43919
15.08.2022 00:30;43270
15.08.2022 00:45;42860
15.08.2022 01:00;43069
15.08.2022 01:15;42579
15.08.2022 01:30;42437
15.08.2022 01:45;42170
15.08.2022 02:00;42271
15.08.2022 02:15;41988
15.08.2022 02:30;42057
15.08.2022 02:45;41728
15.08.2022 03:00;42346
15.08.2022 03:15;42154
15.08.2022 03:30;42000
15.08.2022 03:45;41736
15.08.2022 04:00;41821
15.08.2022 04:15;41833
15.08.2022 04:30;42309
15.08.2022 04:45;43049
15.08.2022 05:00;44578
15.08.2022 05:15;44734
15.08.2022 05:30;45617
15.08.2022 05:45;46496
15.08.2022 06:00;49298
15.08.2022 06:15;50560
15.08.2022 06:30;51277
15.08.2022 06:45;52275
15.08.2022 07:00;53363
15.08.2022 07:15;54353
15.08.2022 07:30;54893
15.08.2022 07:45;55598
15.08.2022 08:00;56152
15.08.2022 08:15;56483
15.08.2022 08:30;57154
15.08.2022 08:45;58031
15.08.2022 09:00;58591
15.08.2022 09:15;58961
15.08.2022 09:30;59816
15.08.2022 09:45;60302
15.08.2022 10:00;61142
15.08.2022 10:15;61503
15.08.2022 10:30;61845
15.08.2022 10:45;62490
15.08.2022 11:00;63434
15.08.2022 11:15;64336
15.08.2022 11:30;64709
15.08.2022 11:45;64541
15.08.2022 12:00;64216
15.08.2022 12:15;64088
15.08.2022 12:30;64245
15.08.2022 12:45;64361
15.08.2022 13:00;63758
15.08.2022 13:15;63614
15.08.2022 13:30;63033
15.08.2022 13:45;62137
15.08.2022 14:00;61898
15.08.2022 14:15;61238
15.08.2022 14:30;60453
15.08.2022 14:45;61727
15.08.2022 15:00;62937
15.08.2022 15:15;62044
15.08.2022 15:30;62341
15.08.2022 15:45;60771
15.08.2022 16:00;60509
15.08.2022 16:15;60580
15.08.2022 16:30;60347
15.08.2022 16:45;59120
15.08.2022 17:00;60034
15.08.2022 17:15;60163
15.08.2022 17:30;59589
15.08.2022 17:45;59487
15.08.2022 18:00;59813
15.08.2022 18:15;58880
15.08.2022 18:30;58434
15.08.2022 18:45;58487
15.08.2022 19:00;57562
15.08.2022 19:15;57133
15.08.2022 19:30;57012
15.08.2022 19:45;56739
15.08.2022 20:00;55731
15.08.2022 20:15;54610
15.08.2022 20:30;55142
15.08.2022 20:45;55339
15.08.2022 21:00;55161
15.08.2022 21:15;54451
15.08.2022 21:30;54038
15.08.2022 21:45;53219
15.08.2022 22:00;52192
15.08.2022 22:15;51314
15.08.2022 22:30;50463
15.08.2022 22:45;49515
15.08.2022 23:00;49102
15.08.2022 23:15;48120
15.08.2022 23:30;47132
15.08.2022 23:45;46723
16.08.2022 00:00;45995
16.08.2022 00:15;45561
16.08.2022 00:30;45419
16.08.2022 00:45;45153
16.08.2022 01:00;44721
16.08.2022 01:15;44137
16.08.2022 01:30;43977
16.08.2022 01:45;43922
16.08.2022 02:00;43661
16.08.2022 02:15;43538
16.08.2022 02:30;43450
16.08.2022 02:45;43456
16.08.2022 03:00;43199
16.08.2022 03:15;43141
16.08.2022 03:30;43203
16.08.2022 03:45;43295
16.08.2022 04:00;43713
16.08.2022 04:15;44111
16.08.2022 04:30;44310
16.08.2022 04:45;44723
16.08.2022 05:00;45838
16.08.2022 05:15;46438
16.08.2022 05:30;47692
16.08.2022 05:45;48540
16.08.2022 06:00;51050
16.08.2022 06:15;52410
16.08.2022 06:30;53421
16.08.2022 06:45;54139
16.08.2022 07:00;55865
16.08.2022 07:15;56757
16.08.2022 07:30;57799
16.08.2022 07:45;58381
16.08.2022 08:00;59714
16.08.2022 08:15;60387
16.08.2022 08:30;60899
16.08.2022 08:45;61621
16.08.2022 09:00;61942
16.08.2022 09:15;62396
16.08.2022 09:30;62911
16.08.2022 09:45;63428
16.08.2022 10:00;63888
16.08.2022 10:15;64184
16.08.2022 10:30;64722
16.08.2022 10:45;65416
16.08.2022 11:00;64903
16.08.2022 11:15;64950
16.08.2022 11:30;65430
16.08.2022 11:45;65891
16.08.2022 12:00;66775
16.08.2022 12:15;66734
16.08.2022 12:30;66801
16.08.2022 12:45;66601
16.08.2022 13:00;67198
16.08.2022 13:15;66747
16.08.2022 13:30;66494
16.08.2022 13:45;65945
16.08.2022 14:00;65846
16.08.2022 14:15;65620
16.08.2022 14:30;65032
16.08.2022 14:45;64786
16.08.2022 15:00;64219
16.08.2022 15:15;63911
16.08.2022 15:30;62909
16.08.2022 15:45;62326
16.08.2022 16:00;61501
16.08.2022 16:15;61858
16.08.2022 16:30;61255
16.08.2022 16:45;60862
16.08.2022 17:00;61216
16.08.2022 17:15;60860
16.08.2022 17:30;60467
16.08.2022 17:45;60607
16.08.2022 18:00;60058
16.08.2022 18:15;59341
16.08.2022 18:30;59552
16.08.2022 18:45;59145
16.08.2022 19:00;58752
16.08.2022 19:15;58158
16.08.2022 19:30;57787
16.08.2022 19:45;57306
16.08.2022 20:00;57154
16.08.2022 20:15;56571
16.08.2022 20:30;56182
16.08.2022 20:45;56257
16.08.2022 21:00;55926
16.08.2022 21:15;55495
16.08.2022 21:30;54851
16.08.2022 21:45;53759
16.08.2022 22:00;52960
16.08.2022 22:15;52023
16.08.2022 22:30;51276
16.08.2022 22:45;50072
16.08.2022 23:00;49245
16.08.2022 23:15;48819
16.08.2022 23:30;48179
16.08.2022 23:45;47352
17.08.2022 00:00;47049
17.08.2022 00:15;46413
17.08.2022 00:30;46186
17.08.2022 00:45;45796
17.08.2022 01:00;45812
17.08.2022 01:15;45861
17.08.2022 01:30;45733
17.08.2022 01:45;45377
17.08.2022 02:00;45282
17.08.2022 02:15;45361
17.08.2022 02:30;45281
17.08.2022 02:45;45476
17.08.2022 03:00;45205
17.08.2022 03:15;45079
17.08.2022 03:30;44953
17.08.2022 03:45;44352
17.08.2022 04:00;44876
17.08.2022 04:15;44925
17.08.2022 04:30;45267
17.08.2022 04:45;45877
17.08.2022 05:00;46952
17.08.2022 05:15;47573
17.08.2022 05:30;48601
17.08.2022 05:45;49686
17.08.2022 06:00;52109
17.08.2022 06:15;53403
17.08.2022 06:30;54300
17.08.2022 06:45;55347
17.08.2022 07:00;56399
17.08.2022 07:15;57452
17.08.2022 07:30;58569
17.08.2022 07:45;59507
17.08.2022 08:00;60147
17.08.2022 08:15;60943
17.08.2022 08:30;61935
17.08.2022 08:45;62754
17.08.2022 09:00;62091
17.08.2022 09:15;63177
17.08.2022 09:30;63764
17.08.2022 09:45;64538
17.08.2022 10:00;65008
17.08.2022 10:15;65624
17.08.2022 10:30;65735
17.08.2022 10:45;66097
17.08.2022 11:00;66307
17.08.2022 11:15;66382
17.08.2022 11:30;65598
17.08.2022 11:45;65628
17.08.2022 12:00;65653
17.08.2022 12:15;65370
17.08.2022 12:30;65545
17.08.2022 12:45;65889
17.08.2022 13:00;65171
17.08.2022 13:15;64455
17.08.2022 13:30;63684
17.08.2022 13:45;63419
17.08.2022 14:00;62204
17.08.2022 14:15;62099
17.08.2022 14:30;61821
17.08.2022 14:45;61937
17.08.2022 15:00;61883
17.08.2022 15:15;62073
17.08.2022 15:30;62176
17.08.2022 15:45;61756
17.08.2022 16:00;61209
17.08.2022 16:15;61289
17.08.2022 16:30;61174
17.08.2022 16:45;60750
17.08.2022 17:00;60206
17.08.2022 17:15;59899
17.08.2022 17:30;59540
17.08.2022 17:45;59307
17.08.2022 18:00;58547
17.08.2022 18:15;58239
17.08.2022 18:30;58363
17.08.2022 18:45;58233
17.08.2022 19:00;58053
17.08.2022 19:15;57691
17.08.2022 19:30;57056
17.08.2022 19:45;56781
17.08.2022 20:00;55942
17.08.2022 20:15;55161
17.08.2022 20:30;55033
17.08.2022 20:45;55255
17.08.2022 21:00;55171
17.08.2022 21:15;54597
17.08.2022 21:30;53948
17.08.2022 21:45;53142
17.08.2022 22:00;52535
17.08.2022 22:15;51593
17.08.2022 22:30;50533
17.08.2022 22:45;49742
17.08.2022 23:00;49153
17.08.2022 23:15;48390
17.08.2022 23:30;48241
17.08.2022 23:45;47754
18.08.2022 00:00;46298
18.08.2022 00:15;45866
18.08.2022 00:30;45654
18.08.2022 00:45;45241
18.08.2022 01:00;45187
18.08.2022 01:15;45110
18.08.2022 01:30;45272
18.08.2022 01:45;44671
18.08.2022 02:00;44420
18.08.2022 02:15;44331
18.08.2022 02:30;44395
18.08.2022 02:45;44302
18.08.2022 03:00;44103
18.08.2022 03:15;44059
18.08.2022 03:30;44062
18.08.2022 03:45;43915
18.08.2022 04:00;44115
18.08.2022 04:15;44084
18.08.2022 04:30;44509
18.08.2022 04:45;44818
18.08.2022 05:00;46220
18.08.2022 05:15;46739
18.08.2022 05:30;47940
18.08.2022 05:45;48596
18.08.2022 06:00;51260
18.08.2022 06:15;52375
18.08.2022 06:30;53113
18.08.2022 06:45;54309
18.08.2022 07:00;56025
18.08.2022 07:15;57014
18.08.2022 07:30;58042
18.08.2022 07:45;59108
18.08.2022 08:00;59754
18.08.2022 08:15;60123
18.08.2022 08:30;60760
18.08.2022 08:45;61053
18.08.2022 09:00;61524
18.08.2022 09:15;61879
18.08.2022 09:30;63024
18.08.2022 09:45;63536
18.08.2022 10:00;63708
18.08.2022 10:15;63735
18.08.2022 10:30;63930
18.08.2022 10:45;64000
18.08.2022 11:00;64718
18.08.2022 11:15;65338
18.08.2022 11:30;65514
18.08.2022 11:45;66068
18.08.2022 12:00;65813
18.08.2022 12:15;66272
18.08.2022 12:30;65272
18.08.2022 12:45;66247
18.08.2022 13:00;66008
18.08.2022 13:15;65577
18.08.2022 13:30;65574
18.08.2022 13:45;64741
18.08.2022 14:00;64133
18.08.2022 14:15;63494
